,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
12,96251.094356,96406.72151566665,94697.617759,91941.81818833335,88496.32012133334,84532.95622133333,79942.44545466667,75044.29678566667,69793.12359566666,68361.389802,66536.16832266666,65914.46437500001,65790.64792166668,67871.63757933333,72271.74681766666,78526.54106766668,83964.44386166666,88496.74236133334,91770.81975933333,93968.15710933333
13,96258.56008233334,96415.06860066667,94707.72584366666,91950.582712,88502.455612,84535.10008166666,79942.627792,75044.29773133334,69794.84932666666,68385.30440233334,66566.74328933335,65943.80038666667,65795.15092666667,67860.94511033333,72267.476348,78527.05157366667,83968.445008,88504.81729199999,91779.958387,93975.46290466667
14,96266.02582599998,96423.414812,94717.83475566667,91959.34830700001,88508.59179133334,84537.24425533334,79942.81056166667,75044.293862,69796.52839833334,68409.20905333334,66597.23014166666,65974.04823866667,65799.84507633332,67850.347893,72263.19352466667,78527.56904933334,83972.452687,88512.89675966666,91789.104875,93982.768821
15,96273.49158666667,96431.76015300001,94727.94449133333,91968.11497233332,88514.72865966667,84539.38874266668,79942.99376233332,75044.28521066667,69798.157552,68433.10376066667,66627.62924400001,66005.22368666668,65804.73038166667,67839.845988,72258.89840366667,78528.0937,83976.472817,88520.98076466667,91798.25923533335,93990.07485833333
16,96280.95736466667,96440.10462700001,94738.05504766667,91976.882708,88520.86621666666,84541.53354333334,79943.17739333333,75044.27180966666,69799.72856633335,68456.98853066667,66657.94095999999,66036.91086666669,65809.80685400001,67829.43945733334,72254.60278366668,78528.62556666667,83980.50489833334,88529.07812233333,91807.42147966666,93997.38101666667
17,96288.42315966667,96448.44823733333,94748.163046,91985.651513,88527.00446233334,84543.67865733332,79943.36145366666,75044.25369066666,69801.24224266667,68480.863369,66688.16565033334,66068.72615166668,65815.074506,67819.12836333334,72250.30993866666,78529.16409833333,83984.54085566667,88537.188595,91816.59162033333,94004.687296
18,96295.88897166667,96456.79098733334,94758.26081033335,91994.42138733335,88533.14339666667,84545.82408466667,79943.54594266666,75044.23088599999,69802.70272500001,68504.72828166666,66718.48740533333,66100.66971600002,65820.53335,67808.91276966665,72246.02012399999,78529.709192,83988.57426633335,88545.31186633334,91825.769669,94011.99369666667
19,96303.35480066667,96465.13288,94768.34879333334,92003.19232999999,88539.28301933334,84547.96982533333,79943.73085933333,75044.203427,69804.119104,68528.58327433333,66748.96603333333,66132.741734,65826.18339933334,67798.79274,72241.72185199999,78530.26091033334,83992.60512666666,88553.43880599999,91834.95563833334,94019.30021833333
20,96310.820647,96473.47391866667,94778.43082133336,92011.96434066666,88545.42333033332,84550.11587933335,79943.916203,75044.17134533334,69805.49143166667,68552.42835333334,66779.60458266667,66164.94238100002,65832.04688533334,67788.76833933334,72237.41215866666,78530.81931633333,83996.63343166666,88561.56933500001,91844.14953966667,94026.60686100001
21,96318.28651033335,96481.81410666666,94788.51501533332,92020.73741866666,88551.564329,84552.26224666667,79944.10197266667,75044.13467166667,69806.81976,68576.263524,66810.222349,66197.27183166669,65838.28643433335,67778.83963300001,72233.09109733334,78531.38447333334,84000.65917799999,88569.70345366666,91853.35138566668,94033.91362466667
22,96325.752391,96490.15344766667,94798.60136566668,92029.51156366667,88557.70601566667,84554.40892733334,79944.28816766666,75044.093437,69808.10414133333,68600.08879233334,66840.762887,66229.70292033335,65844.893362,67769.00668733333,72228.758721,78531.956445,84004.682361,88577.84116133333,91862.561188,94041.220509
23,96333.21828866667,96498.49194433332,94808.68986233334,92038.286775,88563.84839,84556.55592166667,79944.474787,75044.04767166667,69809.34462766668,68623.90416433333,66871.22648866667,66262.13873833335,65851.83684366666,67759.269569,72224.41508266667,78532.535296,84008.702977,88585.98245766666,91871.778959,94048.52751466667
24,96340.68420333334,96506.8296,94818.78049566667,92047.06305233332,88569.99145233333,84558.70322933333,79944.66183,75043.99740633334,69810.54127166666,68647.70964633334,66901.61344500001,66294.58594100001,65858.94573866668,67749.62834566666,72220.06023533334,78533.12109166668,84012.72102133333,88594.12734233333,91881.00471066668,94055.83464100001
25,96348.150135,96515.16641766667,94828.87325566668,92055.84039466665,88576.13520199999,84560.85085033333,79944.84929566666,75043.94267066667,69811.69412566668,68671.505244,66931.924045,66327.07844433335,65866.491074,67740.09172033332,72215.69423233334,78533.71389733333,84016.73649033332,88602.275815,91890.238455,94063.14188833332
26,96355.61608366667,96523.502401,94838.96813233332,92064.618802,88582.279639,84562.99878466666,79945.03718333332,75043.88349466668,69812.835355,68695.29096333333,66962.15857666667,66359.71982800002,65874.61152966668,67730.68855633333,72211.317127,78534.31377866666,84020.74937966665,88610.42787566669,91899.48020466667,94070.44925633333
27,96363.08204966667,96531.83755266666,94849.06511633332,92073.39827333333,88588.424763,84565.14703233332,79945.225492,75043.81990766666,69814.29074666668,68719.06681,66992.31732666667,66392.97793433334,65883.31690633333,67721.41717033334,72206.92897266666,78534.92080200001,84024.75968566666,88618.583524,91908.72997166666,94077.75674533332
28,96370.54803300001,96540.17187633335,94859.16419799998,92082.17880866666,88594.570574,84567.29559333333,79945.414221,75043.751939,69816.06582,68742.83279033333,67022.40058,66426.97816433334,65892.34631933334,67712.26725033333,72202.52982266666,78535.53503500001,84028.767404,88626.74275933334,91917.98776866666,94085.06435533334
29,96378.01403333334,96548.50537466667,94869.26536766667,92090.96040699999,88600.71707199998,84569.44446766666,79945.60336933333,75043.679618,69818.13398333333,68766.58891,67052.40862033334,66461.73110500001,65901.571326,67703.208331,72198.11973033333,78536.15654499999,84032.77253033333,88634.90558133333,91927.25360733333,94092.372086
